eval,key,intelligibility,naturalness,cb1,cb2,cb3,cb4,start_time,end_time,path,listener_id,hubert,smile,speaker
trial,M014B26,2.5,2.5,False,False,False,False,2024/05/21 16:31:24,2024/05/21 16:31:50,deaf_csv/deaf_trial_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/M014B26_hubert_layer6.pt,data/smile/M014B26.pt,M014
trial,F020B42,1.5,2.0,False,True,False,False,2024/05/21 16:32:01,2024/05/21 16:32:19,deaf_csv/deaf_trial_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/F020B42_hubert_layer6.pt,data/smile/F020B42.pt,F020
trial,M004C01,1.0,1.5,True,False,False,False,2024/05/21 16:32:31,2024/05/21 16:32:40,deaf_csv/deaf_trial_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/M004C01_hubert_layer6.pt,data/smile/M004C01.pt,M004
trial,M015B46,5.0,4.5,False,False,False,False,2024/05/21 16:32:45,2024/05/21 16:32:55,deaf_csv/deaf_trial_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/M015B46_hubert_layer6.pt,data/smile/M015B46.pt,M015
test,F016B40,5.0,4.5,False,False,False,False,2024/05/21 16:33:07.485,2024/05/21 16:33:09,deaf_csv/deaf_test_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/F016B40_hubert_layer6.pt,data/smile/F016B40.pt,F016
test,F020C31,3.0,3.5,False,False,False,False,2024/05/21 16:33:16.071,2024/05/21 16:33:20,deaf_csv/deaf_test_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/F020C31_hubert_layer6.pt,data/smile/F020C31.pt,F020
test,M007B37,5.0,4.5,False,False,False,False,2024/05/21 16:33:30.930,2024/05/21 16:33:32,deaf_csv/deaf_test_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/M007B37_hubert_layer6.pt,data/smile/M007B37.pt,M007
test,F013C34,5.0,4.5,False,False,True,False,2024/05/21 16:33:36.241,2024/05/21 16:33:43,deaf_csv/deaf_test_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/F013C34_hubert_layer6.pt,data/smile/F013C34.pt,F013
test,M011B05,3.5,4.0,False,False,False,False,2024/05/21 16:33:51.163,2024/05/21 16:33:54,deaf_csv/deaf_test_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/M011B05_hubert_layer6.pt,data/smile/M011B05.pt,M011
test,F009C28,3.0,3.0,False,False,False,False,2024/05/21 16:34:05.061,2024/05/21 16:34:10,deaf_csv/deaf_test_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/F009C28_hubert_layer6.pt,data/smile/F009C28.pt,F009
test,F005C14,4.0,3.5,False,False,False,False,2024/05/21 16:34:20.538,2024/05/21 16:34:22,deaf_csv/deaf_test_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/F005C14_hubert_layer6.pt,data/smile/F005C14.pt,F005
test,F014C48,5.0,4.5,False,False,False,False,2024/05/21 16:34:44.112,2024/05/21 16:34:45,deaf_csv/deaf_test_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/F014C48_hubert_layer6.pt,data/smile/F014C48.pt,F014
test,M007C03,5.0,5.0,False,False,False,False,2024/05/21 16:34:52.313,2024/05/21 16:34:57,deaf_csv/deaf_test_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/M007C03_hubert_layer6.pt,data/smile/M007C03.pt,M007
test,F019C09,5.0,4.5,False,False,False,False,2024/05/21 16:35:00.762,2024/05/21 16:35:04,deaf_csv/deaf_test_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/F019C09_hubert_layer6.pt,data/smile/F019C09.pt,F019
test,BM047C13,5.0,5.0,False,False,False,False,2024/05/21 16:35:12.293,2024/05/21 16:35:13,deaf_csv/deaf_test_001.csv,202405211600,/home/akio/deaf_si_2025/data/hubert/BM047C13_hubert_layer6.pt,data/smile/BM047C13.pt,BM047
